,AGNO,RBD,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,LATITUD,LONGITUD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,ENS_10,ENS_11,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL,check
9904,2020,13403,1,JARDIN INFANTIL LOS ROBLECITOS, ,65151303,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,0,-29.971656800000000,-71.25933838000000,0,10,0,0,0,0,0,0,0,0,0,0,1,1,2, ,$10.001 A $25.000,GRATUITO,True
9905,2020,13405,8,JARDIN INFANTIL MUNDO FELIZ, ,65157844,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,0,-29.964115140000000,-71.25543976000000,0,10,0,0,0,0,0,0,0,0,0,0,1,1,7,LAICO,GRATUITO,GRATUITO,True
9906,2020,13406,6,JARDIN INFANTIL PIECECITOS DE NINO, ,61816000,1,4,COQ,41,4101,LA SERENA,41,ELQUI,4,3,0,-29.898232000000000,-71.25064999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9, ,SIN INFORMACION,SIN INFORMACION,True
9911,2020,13411,2,JARDIN INFANTIL FUERTE ALEGRIA, ,77410670,1,4,COQ,41,4101,LA SERENA,41,ELQUI,4,3,0,-29.925997000000000,-71.25139600000000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2, ,MAS DE $100.000,MAS DE $100.000,True
9912,2020,13412,0,COLEGIO BASICO RENACER DE CERRILLOS, ,69040800,1,4,COQ,43,4303,MONTE PATRIA,42,LIMARÍ,2,1,1,-30.705460000000000,-70.83055100000000,1,10,110,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,True
9915,2020,13415,5,LICEO DE ADULTOS MAX PLANCK, ,65145629,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,-29.907623000000000,-71.24592000000000,1,363,0,0,0,0,0,0,0,0,0,0,1,1,1, ,$1.000 A $10.000,GRATUITO,True
9916,2020,13416,3,COLEGIO ARTISTICO CULTURAL FORM-ARTE, ,65153138,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,-29.932012560000000,-71.25757599000001,1,10,110,310,0,0,0,0,0,0,0,0,1,1,7,PLURALISTA,GRATUITO,$50.001 A $100.000,True
9917,2020,13417,1,COLEGIO ELQUI, ,65154553,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,-29.886511000000000,-71.23594700000000,1,10,110,310,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,$10.001 A $25.000,True
9919,2020,13420,1,COLEGIO NUESTRA SENORA DE ANDACOLLO, ,73836100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,-29.868610000000000,-71.23967700000000,1,10,110,310,410,510,610,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,True
9921,2020,13423,6,ESCUELA BASICA AMANECER, ,69041000,1,4,COQ,43,4305,RÍO HURTADO,42,LIMARÍ,2,1,1,-30.275320000000000,-70.66899900000000,1,110,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,True
